timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,ID
"[1736515377.4951115, 1736515377.7244015, 1736515377.8851783, 1736515378.1294515, 1736515378.293731]",1736515378.607473,1736515378.6074836,1736515379.9766347,1736515379.9816809,1736515381.2184799,1.0,5,0.3702874183654785,0.036957502365112305,0.046393394470214844,0.13677120208740234,0.2515830993652344,"[0.20332956314086914, 0.24952125549316406]","[0.0908968448638916, 0.16150212287902832]",1736515381
"[1736515378.530515, 1736515378.6912527, 1736515378.9385285, 1736515379.1134932, 1736515379.3573694]",1736515379.5706685,1736515379.5706806,1736515380.8562047,1736515380.8602822,1736515382.2210832,1.0,5,0.4453551769256592,0.015862226486206055,0.10849475860595703,0.13574671745300293,0.1699376106262207,"[0.12079334259033203, 0.1776115894317627]","[0.09187006950378418, 0.14596796035766602]",1736515382
"[1736515379.5032005, 1736515379.6582086, 1736515379.9177694, 1736515380.080994, 1736515380.3439083]",1736515380.5710692,1736515380.5710785,1736515381.892271,1736515381.8977206,1736515383.2213671,1.0,5,0.4036979675292969,0.015228033065795898,0.06171822547912598,0.12486958503723145,0.2299504280090332,"[0.2224721908569336, 0.1857450008392334]","[0.09479928016662598, 0.15510773658752441]",1736515383
"[1736515380.498536, 1736515380.7395961, 1736515380.8805783, 1736515381.1378734, 1736515381.3057249]",1736515381.60391,1736515381.6039178,1736515383.0293915,1736515383.0353718,1736515384.2280715,1.0,5,0.4072535037994385,0.015041828155517578,0.04722905158996582,0.11852478981018066,0.23970890045166016,"[0.17454814910888672, 0.3159511089324951]","[0.08408951759338379, 0.16477584838867188]",1736515384
"[1736515381.5342185, 1736515381.6924882, 1736515381.9229167, 1736515382.1649218, 1736515382.3332002]",1736515382.5506456,1736515382.5506585,1736515384.0173967,1736515384.0248406,1736515385.2284865,1.0,5,0.45801830291748047,0.044702768325805664,0.08355855941772461,0.11672306060791016,0.1894063949584961,"[0.19714760780334473, 0.2856302261352539]","[0.09077095985412598, 0.15967988967895508]",1736515385
"[1736515382.4812253, 1736515382.642801, 1736515382.9018972, 1736515383.0509872, 1736515383.3174608]",1736515383.5687807,1736515383.5687895,1736515384.898237,1736515384.906024,1736515386.2292247,1.0,5,0.44988155364990234,0.02158641815185547,0.07325577735900879,0.10995149612426758,0.23769712448120117,"[0.18341493606567383, 0.1935422420501709]","[0.09213924407958984, 0.15695452690124512]",1736515386
"[1736515383.4692247, 1736515383.6223624, 1736515383.8705409, 1736515384.1001887, 1736515384.2743003]",1736515384.5885973,1736515384.5886388,1736515386.0010269,1736515386.0083563,1736515387.2250605,1.0,5,0.42035412788391113,0.018294095993041992,0.06927013397216797,0.12222814559936523,0.23960542678833008,"[0.20333290100097656, 0.24562621116638184]","[0.09039783477783203, 0.16704845428466797]",1736515387
"[1736515384.5162473, 1736515384.6776428, 1736515384.9325657, 1736515385.1085272, 1736515385.2848608]",1736515385.5970066,1736515385.5970168,1736515387.0231345,1736515387.0335908,1736515388.2263484,1.0,5,0.48987460136413574,0.01380157470703125,0.09014487266540527,0.14880919456481934,0.18944978713989258,"[0.1806468963623047, 0.21296072006225586]","[0.09772062301635742, 0.1569061279296875]",1736515388
"[1736515385.5256436, 1736515385.6872118, 1736515385.9338875, 1736515386.0912552, 1736515386.335797]",1736515386.6457467,1736515386.6457572,1736515387.8684895,1736515387.8784971,1736515389.226368,1.0,5,0.4241342544555664,0.01106882095336914,0.0479273796081543,0.10199213027954102,0.22030115127563477,"[0.11702537536621094, 0.17349863052368164]","[0.10154151916503906, 0.16312122344970703]",1736515389
"[1736515386.4900296, 1736515386.7231772, 1736515386.8921785, 1736515387.124334, 1736515387.2837186]",1736515387.5725644,1736515387.5725756,1736515388.7687058,1736515388.7779317,1736515390.226419,1.0,5,0.4171106815338135,0.015463829040527344,0.06310319900512695,0.11240196228027344,0.2230062484741211,"[0.11881232261657715, 0.13436555862426758]","[0.10361242294311523, 0.16772818565368652]",1736515390
"[1736515387.499787, 1736515387.6584032, 1736515387.8984284, 1736515388.077495, 1736515388.3307316]",1736515388.566036,1736515388.5660458,1736515389.7229755,1736515389.727138,1736515391.226315,1.0,5,0.38829541206359863,0.03716850280761719,0.04389357566833496,0.12472152709960938,0.23485136032104492,"[0.11991405487060547, 0.1203162670135498]","[0.09616708755493164, 0.15940093994140625]",1736515391
"[1736515388.4853697, 1736515388.6569188, 1736515388.91888, 1736515389.0856922, 1736515389.2575436]",1736515389.7102768,1736515389.710289,1736515390.8415136,1736515390.8473892,1736515392.22662,1.0,5,0.19972634315490723,0.01304769515991211,0.03695511817932129,0.13153076171875,0.2449502944946289,"[0.21127986907958984, 0.19014263153076172]","[0.09656167030334473, 0.16194939613342285]",1736515392
"[1736515389.505144, 1736515389.7453597, 1736515389.9209328, 1736515390.0745368, 1736515390.317934]",1736515390.5417433,1736515390.5417533,1736515391.7743847,1736515391.7802343,1736515393.2265997,1.0,5,0.4200098514556885,0.017415285110473633,0.06412982940673828,0.10632634162902832,0.2564582824707031,"[0.1423802375793457, 0.13033199310302734]","[0.09767818450927734, 0.14936614036560059]",1736515393
"[1736515390.4681175, 1736515390.6380866, 1736515390.8783834, 1736515391.0532544, 1736515391.300138]",1736515391.624175,1736515391.6241891,1736515392.7178135,1736515392.7232122,1736515394.2264307,1.0,5,0.21230411529541016,0.016265869140625,0.06804537773132324,0.09483766555786133,0.20874285697937012,"[0.12221026420593262, 0.1297590732574463]","[0.09256911277770996, 0.1508779525756836]",1736515394
"[1736515391.5397458, 1736515391.7037578, 1736515391.9496155, 1736515392.1181488, 1736515392.355438]",1736515392.7060096,1736515392.70602,1736515393.662084,1736515393.6682546,1736515395.2273893,1.0,5,0.1536402702331543,0.008954286575317383,0.04484748840332031,0.1060793399810791,0.22165226936340332,"[0.19338250160217285, 0.11478018760681152]","[0.09710288047790527, 0.1501317024230957]",1736515395
"[1736515392.510971, 1736515392.7418594, 1736515392.9073067, 1736515393.1304986, 1736515393.282511]",1736515393.6552424,1736515393.6552536,1736515394.6445193,1736515394.6493435,1736515396.228648,1.0,5,0.18401360511779785,0.013680458068847656,0.054410696029663086,0.10361933708190918,0.23715925216674805,"[0.1756746768951416, 0.12080907821655273]","[0.09982419013977051, 0.14678215980529785]",1736515396
