timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736609101.6253061, 1736609101.7673452, 1736609101.8971403, 1736609102.028339, 1736609102.2282093, 1736609102.3625026, 1736609102.49361]",1736609102.775848,1736609102.7765234,1736609106.5294785,1736609106.5356514,1736609106.5419223,1.0,7,0.2879514694213867,0.03072071075439453,0.25665831565856934,0.21684741973876953,0.39297962188720703,"[0.32509779930114746, 0.37303853034973145]","[0.06485986709594727, 0.09013938903808594]",65279,"[16, 16, 16]","[0.00024510179383875364, 0.00024510179383875364, 0.00024510179383875364]",1736609106
"[1736609102.6269002, 1736609102.7610447, 1736609102.9013727, 1736609103.0256603, 1736609103.2255309, 1736609103.3587365, 1736609103.4918592]",1736609103.8589988,1736609103.8591483,1736609107.2409434,1736609107.2493734,1736609107.2596493,1.0,7,0.21912121772766113,0.024418354034423828,0.20685195922851562,0.18889784812927246,0.33002233505249023,"[0.19288063049316406, 0.35076212882995605]","[0.05853462219238281, 0.10423445701599121]",54305,"[16, 16, 16]","[0.00029463217015007824, 0.00029463217015007824, 0.00029463217015007824]",1736609107
"[1736609103.6274915, 1736609103.7697845, 1736609103.9242682, 1736609104.0595057, 1736609104.186926, 1736609104.3591003, 1736609104.4924023]",1736609104.7625453,1736609104.762694,1736609107.9500809,1736609107.9564502,1736609108.0091474,1.0,7,0.23458266258239746,0.02384662628173828,0.1922931671142578,0.1958315372467041,0.31323862075805664,"[0.31816983222961426, 0.24570631980895996]","[0.051200151443481445, 0.0917501449584961]",58286,"[16, 16, 16]","[0.0002745084582918711, 0.0002745084582918711, 0.0002745084582918711]",1736609108
"[1736609104.626506, 1736609104.7663984, 1736609104.8921924, 1736609105.026061, 1736609105.1850412, 1736609105.3621762, 1736609105.492627]",1736609105.6714966,1736609105.6718926,1736609108.6161203,1736609108.620773,1736609109.0075884,1.0,7,0.19816851615905762,0.024311542510986328,0.20685243606567383,0.19535398483276367,0.3390641212463379,"[0.3561716079711914, 0.15271425247192383]","[0.06626391410827637, 0.08796930313110352]",65146,"[16, 16, 16]","[0.00024560218585945417, 0.00024560218585945417, 0.00024560218585945417]",1736609109
"[1736609105.6264386, 1736609105.764658, 1736609105.9130247, 1736609106.0438612, 1736609106.1948612, 1736609106.3176599, 1736609106.4933512]",1736609106.628232,1736609106.628324,1736609109.3948736,1736609109.4007862,1736609110.0101714,1.0,7,0.269467830657959,0.021724939346313477,0.1395876407623291,0.30277514457702637,0.353238582611084,"[0.21073246002197266, 0.3960270881652832]","[0.056620121002197266, 0.11049556732177734]",61956,"[16, 16, 16]","[0.0002582477887533088, 0.0002582477887533088, 0.0002582477887533088]",1736609110
"[1736609106.6263487, 1736609106.7653852, 1736609106.9098165, 1736609107.0502083, 1736609107.188801, 1736609107.3595157, 1736609107.4931684]",1736609107.6291769,1736609107.629269,1736609109.8799334,1736609109.8891206,1736609111.0113485,1.0,7,0.3149747848510742,0.025081634521484375,0.06565356254577637,0.17800545692443848,0.30922913551330566,"[0.1426703929901123, 0.19439935684204102]","[0.05282711982727051, 0.09233570098876953]",59725,"[16, 16, 16]","[0.0002678945165341147, 0.0002678945165341147, 0.0002678945165341147]",1736609111
"[1736609107.6268692, 1736609107.7661808, 1736609107.8966715, 1736609108.0278146, 1736609108.2272139, 1736609108.3600547, 1736609108.4943419]",1736609108.6293886,1736609108.6294732,1736609110.6590803,1736609110.664829,1736609112.0065286,1.0,7,0.26161837577819824,0.02798914909362793,0.07377982139587402,0.18143892288208008,0.3445453643798828,"[0.2908451557159424, 0.3381345272064209]","[0.0636594295501709, 0.08227157592773438]",60056,"[16, 16, 16]","[0.0002664180098574664, 0.0002664180098574664, 0.0002664180098574664]",1736609112
"[1736609108.6279266, 1736609108.7682536, 1736609108.894822, 1736609109.0281305, 1736609109.2271512, 1736609109.3710158, 1736609109.4474945]",1736609109.68992,1736609109.6900158,1736609111.5540419,1736609111.5601578,1736609113.0114515,1.0,7,0.3939187526702881,0.02675914764404297,0.16338872909545898,0.1830587387084961,0.4012928009033203,"[0.31095409393310547, 0.41176509857177734]","[0.07291841506958008, 0.09603428840637207]",71681,"[16, 16, 16]","[0.00022321117171914453, 0.00022321117171914453, 0.00022321117171914453]",1736609113
"[1736609109.688036, 1736609109.8546522, 1736609109.9464788, 1736609110.0907722, 1736609110.2895432, 1736609110.4023244, 1736609110.5645905]",1736609110.6588418,1736609110.6591845,1736609112.1826596,1736609112.1924896,1736609114.0114782,1.0,7,0.2029411792755127,0.03451371192932129,0.1814579963684082,0.21740293502807617,0.3256802558898926,"[0.20976519584655762, 0.2676727771759033]","[0.05051994323730469, 0.0972890853881836]",92567,"[16, 16, 16]","[0.00017284777512504456, 0.00017284777512504456, 0.00017284777512504456]",1736609114
"[1736609110.6280446, 1736609110.7613664, 1736609110.8957381, 1736609111.0286267, 1736609111.176156, 1736609111.3598056, 1736609111.4933062]",1736609111.6280665,1736609111.628132,1736609112.7564256,1736609112.7625182,1736609115.0081172,1.0,7,0.2833120822906494,0.02958512306213379,0.2455735206604004,0.10979294776916504,0.3325157165527344,"[0.2067883014678955, 0.17508149147033691]","[0.02241039276123047, 0.04341411590576172]",58057,"[16, 16, 16]","[0.00027559122930912724, 0.00027559122930912724, 0.00027559122930912724]",1736609115
"[1736609111.6267383, 1736609111.7688487, 1736609111.9113243, 1736609112.0482967, 1736609112.2006361, 1736609112.3161848, 1736609112.4962988]",1736609112.629353,1736609112.6294596,1736609113.6544545,1736609113.6578283,1736609116.0094602,1.0,7,0.2545945644378662,0.01991558074951172,0.10486149787902832,0.12088489532470703,0.3058657646179199,"[0.24840950965881348, 0.13457727432250977]","[0.024899005889892578, 0.04118967056274414]",60339,"[16, 16, 16]","[0.0002651684648403189, 0.0002651684648403189, 0.0002651684648403189]",1736609116
"[1736609112.6274855, 1736609112.767013, 1736609112.9047022, 1736609113.0280895, 1736609113.1837466, 1736609113.3606224, 1736609113.493928]",1736609113.6543486,1736609113.6554525,1736609114.5176444,1736609114.5212085,1736609117.0102923,1.0,7,0.17827987670898438,0.019829511642456055,0.09186339378356934,0.11367678642272949,0.28229475021362305,"[0.1832747459411621, 0.14319777488708496]","[0.022000789642333984, 0.03981900215148926]",61633,"[16, 16, 16]","[0.0002596011876754336, 0.0002596011876754336, 0.0002596011876754336]",1736609117
"[1736609113.627339, 1736609113.769819, 1736609113.9135263, 1736609114.039859, 1736609114.1792178, 1736609114.3613214, 1736609114.495732]",1736609114.62997,1736609114.6301007,1736609115.5398893,1736609115.5439298,1736609118.0100853,1.0,7,0.2027575969696045,0.020406723022460938,0.10404443740844727,0.10130071640014648,0.2827465534210205,"[0.207122802734375, 0.13566827774047852]","[0.023534774780273438, 0.03896689414978027]",57955,"[16, 16, 16]","[0.0002760762660685014, 0.0002760762660685014, 0.0002760762660685014]",1736609118
